No;input;maxit;lr;RMSEmed.score;RMSEd51.score;MAE.score;WAE.score
1;x & y;1000;0.01;25;8;26;21
2;x & y;1000;0.01;22;29;16;26
3;x & y;10000;0.1;38;24;42;31
4;x & y;10000;0.1;33;14;37;27
5;x & y;1000;0.01;27;27;28;21
6;x & y;1000;0.01;25;33;27;23
7;x & y;1000;0.01;37;22;36;29
8;x & y;1000;0.01;20;35;16;20
9;x & y;1000;0.01;31;50;29;39
10;x & y;1000;-;41;49;41;38
11;x & y;200;-;12;9;13;12
12;x & y;200;-;28;48;21;40
13;x & y;1000;-;56;56;54;56
14;x & y;1000;0.01;54;60;52;58
15;x & y;200;-;10;21;11;9
16;x & y;10000;0.4;42;1;38;44
17;x & y;10000;0.8;57;2;57;53
18;x & y;1000;0.8;52;3;53;51
19;x & y;1000;0.8;46;4;48;50
20;x & y;1000;0.8;18;38;24;17
21;x & y;-;-;59;55;59;59
22;fmla & data;-;-;60;53;60;60
23;x & y;200;-;15;34;15;15
24;"""y"" & data";10000;0.01;7;7;8;8
25;x & y;10000;0.1;35;19;34;33
26;x & y;10000;0.1;43;53;42;35
27;x & y;10000;0.1;28;44;30;25
28;x & y;10000;0.1;18;20;20;16
29;x & y;10000;0.1;39;58;40;41
30;x & y;10000;0.1;55;57;55;54
31;x & y;10000;0.1;45;47;45;43
32;fmla & data;200;-;9;22;9;7
33;full fmla & data;200;-;16;5;19;14
34;x & y;200;-;10;18;9;11
35;x & y;10000;-;47;45;44;47
36;fmla & data;100000;0.001;51;10;49;45
37;fmla & data;100000;-;21;42;21;18
38;fmla & data;100000;-;23;40;23;24
39;fmla & data;100000;-;49;59;47;52
40;fmla & data;100000;-;39;37;39;46
41;full fmla & data;200;-;3;16;3;6
42;x & y;200;-;2;17;2;3
43;x & y;200;-;14;25;7;36
44;"""y"" & data";200;-;8;32;12;10
45;fmla & data;200;-;1;6;1;1
46;x & y;10000;0.1;48;27;50;48
47;x & y;1000;-;34;41;32;34
48;x & y;1000;-;35;39;35;30
49;x & y;1000;-;30;43;33;31
50;x & y;10000;-;58;36;58;57
51;x & y;1000;-;23;52;25;28
52;x & y;1000;-;17;26;18;19
53;x & y;1000;0.1;32;31;31;36
54;x & y;200;-;49;13;50;48
55;fmla & data;200;-;5;15;6;2
56;x & y;200;-;4;10;4;5
57;x & y;1000;-;6;10;5;4
58;x & y;200;-;13;30;14;13
59;x & y;10000;-;44;45;46;42
60;x & y;1000;-;53;51;56;55

